ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0048705,skeletal system morphogenesis,18,-0.6531549451059712,-2.399688678350907,1.4080617285861332e-4,0.002592218559347914,0.0019715579384779673,476,"tags=39%, list=11%, signal=35%",LAMA5/FBN2/MAPK14/COL3A1/COL28A1/CTNNB1/COL2A1,0.5188480777437918
GO:0006721,terpenoid metabolic process,37,-0.5579630288450514,-2.3944488967997164,2.5336697015729395e-6,1.4160528960050473e-4,1.0770042203253749e-4,393,"tags=43%, list=9%, signal=40%",MVD/SDR9C7/PMVK/RDH11/SDR16C5/ACAT2/FDFT1/LIPE/MVK/FDPS/RETSAT/HMGCS2/ALDH3A2/AKR1C3/ADH1B/HMGCS1,0.6272567397185284
GO:0007601,visual perception,27,-0.5380347406787485,-2.2122560974665393,1.648647742231548e-4,0.002892861585196919,0.002200217339948246,337,"tags=33%, list=8%, signal=31%",RDH11/TGFBI/ABLIM1/KRT12/EFEMP1/TACSTD2/COL1A1/COL2A1/LUM,0.5188480777437918
GO:0050953,sensory perception of light stimulus,27,-0.5380347406787485,-2.2122560974665393,1.648647742231548e-4,0.002892861585196919,0.002200217339948246,337,"tags=33%, list=8%, signal=31%",RDH11/TGFBI/ABLIM1/KRT12/EFEMP1/TACSTD2/COL1A1/COL2A1/LUM,0.5188480777437918
GO:0006637,acyl-CoA metabolic process,57,-0.4494260801178602,-2.141556715906875,2.717471452397731e-6,1.4160528960050473e-4,1.0770042203253749e-4,464,"tags=35%, list=11%, signal=32%",FITM2/SUCLG2/TECR/MVD/PMVK/ALDH7A1/BCKDHA/PDHB/MVK/ACSL5/HMGCS2/ACSL1/ACAT1/DBT/ACOT1/ACACA/ACACB/ACSS2/HMGCS1/FASN,0.6272567397185284
GO:0007517,muscle organ development,59,-0.43858570070870256,-2.0945941145450693,4.44936285730761e-6,1.9327797581521677e-4,1.470010027423384e-4,395,"tags=42%, list=9%, signal=39%",UNC45A/IGSF8/MYLK2/COL3A1/CAV2/ACTA1/CAV1/FHL1/FLNB/EFEMP2/GPC1/SGCD/MYLK/LAMA2/CTNNB1/UTRN/ASS1/DSP/DES/TPM1/COL6A1/PLEC/LMNA/COL6A3/MYH14,0.610526878385931
GO:0051216,cartilage development,23,-0.5456643092244156,-2.079863349246249,4.758239307469896e-4,0.006072162207146243,0.004618290984783549,380,"tags=39%, list=9%, signal=36%",MAPK14/COL3A1/NFIB/TGFBI/GPLD1/EFEMP1/COL2A1/LUM/OGN,0.49849310876659025
GO:0001578,microtubule bundle formation,12,-0.663932147793264,-2.0390061121290786,0.0026528965196623735,0.019861351943872303,0.015105904535957261,470,"tags=58%, list=11%, signal=52%",ODAD4/DNAH1/MAP1B/TPPP3/MTCL1/NUMA1/DNAAF1,0.4317076958033464
GO:0030216,keratinocyte differentiation,63,-0.3870704399613576,-2.029204822936648,1.0460079708878908e-4,0.0020608192128194758,0.0015673927123738473,300,"tags=37%, list=7%, signal=34%",ALOX15B/KRT78/KRT79/PKP1/KLK5/KRT80/KRT4/KRT7/DSP/NUMA1/PLEC/KRT14/AKR1C3/KRT71/KRT74/KRT72/KRT73/SCEL/KRT5/PPL/EVPL/KRT75/KRT77,0.5384340963099162
GO:0006720,isoprenoid metabolic process,39,-0.4344366203261104,-1.9707655871517946,2.9170323598168307e-4,0.004310299131676712,0.0032782746808238377,393,"tags=41%, list=9%, signal=38%",MVD/SDR9C7/PMVK/RDH11/SDR16C5/ACAT2/FDFT1/LIPE/MVK/FDPS/RETSAT/HMGCS2/ALDH3A2/AKR1C3/ADH1B/HMGCS1,0.49849310876659025
