Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
A0A024RBG1,Infected_vs_Healthy,0.7608102291185328,0.23708616471521818,3.2090030644866965,11,0.008320282679447732,0.022517113010363597,NA,0.5977011494252873,0.45977011494252873
A0A075B6H7,Infected_vs_Healthy,0.6204579636956423,0.4979684020808052,1.2459785823819416,9,0.24422932511270945,0.32593638303665246,NA,0.6551724137931034,0.25
A0A075B6H7; A0A0C4DH55,Infected_vs_Healthy,0.9730313267482292,0.41472830511376474,2.346189818130006,14,0.03421093264091368,0.06890044127892365,NA,0.03448275862068961,0
A0A075B6H9,Infected_vs_Healthy,1.1299162695455602,0.5069867148427298,2.228690094761293,11,0.047635461926284206,0.08864711304809098,NA,0.8448275862068966,0.13218390804597702
A0A075B6I0,Infected_vs_Healthy,0.500149032998382,0.4206031943185287,1.1891232395624938,11,0.25942709901452554,0.3418020375535249,NA,0.5172413793103448,0.09195402298850575
A0A075B6I1,Infected_vs_Healthy,0.2812521815926218,0.6816013221885922,0.41263444250597003,2,0.7199027313224553,0.7705018870270297,NA,0.7413793103448276,0.15517241379310345
A0A075B6I4,Infected_vs_Healthy,-Inf,NA,NA,NA,NA,0,oneConditionMissing,0.9310344827586207,0
A0A075B6I9,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.8620689655172413,0
A0A075B6J9,Infected_vs_Healthy,0.3467919215965067,0.693241835489822,0.5002466727234874,5,0.6381371059293974,0.7011538830412967,NA,0.7586206896551724,0.12643678160919541
A0A075B6K4,Infected_vs_Healthy,1.2710805906006781,0.4748571892160667,2.6767639186406393,8,0.028066418885054567,0.05905383353538275,NA,0.5517241379310345,0.3103448275862069
A0A075B6Q5,Infected_vs_Healthy,0.49886876725892854,0.7430138553907276,0.6714124691478185,11,0.5158098928227837,0.5892312577064307,NA,0.6206896551724138,0.2672413793103448
A0A075B6R2,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,NA,NA
A0A075B6R9,Infected_vs_Healthy,0.27953560108131703,0.45195985400345,0.6184965292939121,12,0.5478086979914496,0.6186449070970709,NA,0.632183908045977,0.5287356321839081
A0A075B6S2,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6S5,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6S5; A0A0C4DH67,Infected_vs_Healthy,1.0539138207843595,0.6197135754533118,1.7006466576328205,5,0.14975189452645776,0.22169659146056425,NA,0.5689655172413793,0.1896551724137931
A0A075B6S9,Infected_vs_Healthy,0.4017467679286486,0.7226810724069752,0.5559115677273562,0,NA,NA,NA,0.8793103448275862,0
A0A087WSX0; A0A0G2JS06,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,NA,NA
A0A087WSY6,Infected_vs_Healthy,0.7637422604128171,0.5073933339859875,1.505227225618043,14,0.15449041230833593,0.22787455724213102,NA,0.48275862068965514,0.4482758620689655
A0A087WSZ0,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,NA,NA
A0A087WW87,Infected_vs_Healthy,-0.8878342404787232,0.698260354299487,-1.2714945578851053,3,0.2931779611691212,0.3771699143012442,NA,0.7241379310344828,0.2413793103448276
A0A087WW87; P06310; A0A075B6S2,Infected_vs_Healthy,1.4798188700739394,0.2597635879765943,5.696790999850513,14,5.5168350499235075e-5,5.327334008574509e-4,NA,0.4137931034482759,0.3793103448275862
A0A0A0MRZ8,Infected_vs_Healthy,0.9662383039874782,0.7544137474913669,1.280780350570872,15,0.21972047272595185,0.3011806018237153,NA,0.27586206896551724,0.27586206896551724
A0A0A0MS14,Infected_vs_Healthy,-0.4439264072804525,0.5171381562265457,-0.8584290328133883,2,0.48111047856745937,0.5556042497992221,NA,0.5517241379310345,0
A0A0A0MS15,Infected_vs_Healthy,0.35665962296551534,0.6114014631342034,0.5833476765612975,12,0.5704606549574132,0.6389105543853535,NA,0.5689655172413793,0.46551724137931033
A0A0A0MS15; A0A0B4J1V0; A0A0B4J1V6; A0A0B4J1Y9,Infected_vs_Healthy,-Inf,NA,NA,NA,NA,0,oneConditionMissing,NA,NA
A0A0A0MS15; A0A0B4J1V6,Infected_vs_Healthy,0.4919649818121211,0.4157783093170109,1.1832386894358686,12,0.2596262705200567,0.3419696177545854,NA,0.10344827586206895,0
A0A0A0MT89,Infected_vs_Healthy,1.0480239878331044,0.3387931010268195,3.093404159225016,10,0.011377783956256549,0.029046669304768867,NA,0.2068965517241379,0
A0A0B4J1U7,Infected_vs_Healthy,1.0681388797715905,0.4557618722453874,2.3436336929836297,13,0.0356464643386607,0.07121797816357317,NA,0.6275862068965516,0.5586206896551724
A0A0B4J1V0,Infected_vs_Healthy,1.7451369575039957,0.34111536492470307,5.115972884684373,13,1.9811924733614816e-4,0.00132014662565784,NA,0.5431034482758621,0.2413793103448276
A0A0B4J1V0; A0A0B4J1V6; A0A0B4J1Y9,Infected_vs_Healthy,0.8766690447444506,0.3541546184049456,2.475385041405995,13,0.027850979448269086,0.05870452677849442,NA,0.3620689655172413,0.29310344827586204
A0A0B4J1V2,Infected_vs_Healthy,-0.2677340494932823,0.5559576206510778,-0.48157276660717585,1,0.7142866714532699,0.7656985505583224,NA,0.7758620689655172,0.15517241379310345
A0A0B4J1V6,Infected_vs_Healthy,1.3155107081501116,0.5186282858592276,2.5365193993818984,7,0.03886106199884232,0.07596945529361772,NA,0.7413793103448276,0.43103448275862066
A0A0B4J1X5,Infected_vs_Healthy,1.1078011468631275,0.43511661856003986,2.545986752997959,14,0.023297994121265875,0.05129229382304642,NA,0.5172413793103448,0.4827586206896552
A0A0B4J1X8,Infected_vs_Healthy,0.7354577759164519,0.49430966056710196,1.487848275254605,13,0.16064176846217326,0.23446440502475158,NA,0.10344827586206895,0
A0A0B4J1Y8,Infected_vs_Healthy,1.429367444204523,0.4290704318709861,3.3313119199840564,5,0.020749098519498466,0.04669775796595794,NA,0.6896551724137931,0.1724137931034483
A0A0B4J1Y9,Infected_vs_Healthy,1.0181940739973645,0.4116695563677803,2.473328567166922,14,0.026811796156138712,0.05684196498786926,NA,0.5448275862068965,0.5103448275862069
A0A0B4J2D5,Infected_vs_Healthy,0.0712866142390925,0.5201263505426955,0.13705634056938787,15,0.8928089669041879,0.9165374679692733,NA,0.5172413793103448,0.5172413793103449
A0A0B4J2D9,Infected_vs_Healthy,0.09983401280537363,0.7002391571960236,0.1425713083586188,2,0.8996952854071927,0.9218275356754783,NA,0.8160919540229885,0.22988505747126436
A0A0B4J2H0,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2EL21,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2EM03,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,NA,NA
A0A0C2EM74,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2EMC7,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2EMY6,Infected_vs_Healthy,-Inf,NA,NA,NA,NA,0,oneConditionMissing,NA,NA
A0A0C2EPU7,Infected_vs_Healthy,-1.298693659329226,0.7264868212936136,-1.7876355375816952,3,0.17179585247534757,0.24733396821526554,NA,0.5517241379310345,0
A0A0C2ESC5,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2ET99,Infected_vs_Healthy,0.8446407235134131,1.0304125903035537,0.8197111831335318,0,NA,NA,NA,0.7241379310344828,0
A0A0C2ETG2,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.7931034482758621,0
A0A0C2EUH3,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.5862068965517242,0
A0A0C2EUJ9,Infected_vs_Healthy,-Inf,NA,NA,NA,NA,0,oneConditionMissing,0.7241379310344828,0
A0A0C2EWB2,Infected_vs_Healthy,-Inf,NA,NA,NA,NA,0,oneConditionMissing,NA,NA
A0A0C2F244,Infected_vs_Healthy,-Inf,NA,NA,NA,NA,0,oneConditionMissing,0.9310344827586207,0
A0A0C2F2U1,Infected_vs_Healthy,4.0434982738424274e-5,0.2788732339059317,1.4499413289718448e-4,2,0.999897473665935,0.999897473665935,NA,0.6896551724137931,0
A0A0C2F2U1; P62829,Infected_vs_Healthy,1.4159813403998034,0.3536083157219807,4.0043779443046175,10,0.0025006148276178752,0.009027675566878819,NA,0.1724137931034483,0
A0A0C2F458,Infected_vs_Healthy,-Inf,NA,NA,NA,NA,0,oneConditionMissing,NA,NA
A0A0C2F4R3; P63010; Q10567,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2F4R8,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.8620689655172413,0
A0A0C2F4Z3,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2F5F6,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.9310344827586207,0
A0A0C2F752,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2F7B9,Infected_vs_Healthy,0.3235185380782608,0.4488097283272386,0.7208367324925168,2,0.5458800019218719,0.6173472718711768,NA,0.5517241379310345,0
A0A0C2F7B9; P27635,Infected_vs_Healthy,1.6648344580972705,0.19783518443521608,8.415259716566968,12,2.231306742261907e-6,5.550229493448335e-5,NA,0.24137931034482762,0.13793103448275862
A0A0C2F7L4,Infected_vs_Healthy,-0.05304199186483953,0.25556128622956353,-0.2075509661396578,8,0.8407655834425405,0.8729189875296133,NA,0.5689655172413793,0.29310344827586204
A0A0C2F7L4; P06576,Infected_vs_Healthy,0.4657969611341246,0.5728970308607181,0.8130552892451078,14,0.42979702169867373,0.50833100574817,NA,0.35862068965517246,0.32413793103448274
A0A0C2F7T2,Infected_vs_Healthy,0.7104239601707351,8.118952519329684e-4,875.0192324432869,1,7.275491459024508e-4,0.003578246368718989,NA,0.6896551724137931,0
A0A0C2F8A1,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2F8G4,Infected_vs_Healthy,0.9174841614389162,0.6124379907491729,1.4980849903132094,6,0.18476220303883606,0.262501562989686,NA,0.6724137931034483,0.3620689655172414
A0A0C2F8G4; P68104; Q05639,Infected_vs_Healthy,1.1286869025914776,0.23066714319816073,4.893141203131168,15,1.9493639131962226e-4,0.0013081112925981996,NA,0.3349753694581281,0.33497536945812806
A0A0C2F9J1,Infected_vs_Healthy,-0.7513666285373712,0.4357682306825954,-1.7242345256798934,1,0.33458155631069,0.4180949431962357,NA,0.6551724137931034,0
A0A0C2F9S0; P35249,Infected_vs_Healthy,1.0737018103112883,0.27991905119024413,3.8357582513437354,4,0.018526599379077524,0.04262828954799584,NA,0.4137931034482759,0
A0A0C2F9S4,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2FAX0,Infected_vs_Healthy,-0.030984325724527043,0.690862061069664,-0.044848787436024364,2,0.9683030531890762,0.9763174460316854,NA,0.603448275862069,0.1206896551724138
A0A0C2FB33,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2FB33; P24928,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.7586206896551724,0.13793103448275862
A0A0C2FB52,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,NA,NA
A0A0C2FBC7,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.7586206896551724,0
A0A0C2FBT1,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,NA,NA
A0A0C2FBU5,Infected_vs_Healthy,1.845577465882853,0.37096236360682494,4.975107037648005,14,2.037131305245854e-4,0.0013498480936154885,NA,0.03448275862068961,0
A0A0C2FCT4,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2FCW0,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,NA,NA
A0A0C2FD93,Infected_vs_Healthy,1.2971197251094315,0.27878068330509953,4.652832146515168,8,0.0016386363307159257,0.006466080736903125,NA,0.24137931034482762,0
A0A0C2FDF5,Infected_vs_Healthy,2.2027809544989156,0.3402107503929466,6.47475411037036,13,2.084136901858713e-5,2.5585877056151794e-4,NA,0.2586206896551724,0.1896551724137931
A0A0C2FDH9,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2FF80,Infected_vs_Healthy,2.0025977838813476,0.37351058697318795,5.36155561241187,3,0.012697488752364983,0.03166707037400841,NA,0.48275862068965514,0
A0A0C2FGL5,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.48275862068965514,0
A0A0C2FGL5; A0A0C2IR04; P11142; P38646; P54652,Infected_vs_Healthy,1.5533983702474035,0.3314923573166949,4.686075971167405,8,0.001569478861799034,0.006303122630944387,NA,0.24137931034482762,0
A0A0C2FGL5; A0A0C2IR04; P38646,Infected_vs_Healthy,0.33315564397136305,0.31245472908442895,1.0662525254381428,0,NA,NA,NA,0.7586206896551724,0
A0A0C2FI65,Infected_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,NA,NA
A0A0C2FI98,Infected_vs_Healthy,1.2950053346079415,0.37422971598592547,3.460455648734869,2,0.07431929246126301,0.1264199636532261,NA,0.5172413793103448,0
A0A0C2FKU2,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2FN57,Infected_vs_Healthy,-2.0121865563896284,0.42741518180537946,-4.707803190074478,10,8.316666598724431e-4,0.003951248301053978,NA,0.2068965517241379,0
A0A0C2FNF2,Infected_vs_Healthy,-0.11260344258909949,0.27399379359324094,-0.41097077825151607,0,NA,NA,NA,0.7586206896551724,0
A0A0C2FS32,Infected_vs_Healthy,-Inf,NA,NA,NA,NA,0,oneConditionMissing,0.9310344827586207,0.06896551724137931
A0A0C2FTN2,Infected_vs_Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0C2FW75,Infected_vs_Healthy,-0.13422046573864735,0.9379431402511247,-0.14310085545559956,8,0.8897492342470725,0.9141865510181318,NA,0.6551724137931034,0.22413793103448276
