Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage,ncp_observed,ncp_target_effect,observed_effect_power,target_log2fc_power,detectable_log2fc_at_target_power,nominal_detected,fdr_detected,target_effect_observed,adequately_powered_for_target,observed_effect_adequately_powered,power_detection_status
A0A024RBG1,FC_vs_Healthy,0.8359623401794257,0.2963577058940227,2.8207882688846473,11,0.016644184702513165,0.043545725673040214,NA,0.6481481481481481,0.48148148148148145,2.8207882688846473,3.3743006512460965,0.7286958968971134,0.8662024997618117,0.9123042757323482,TRUE,TRUE,FALSE,TRUE,FALSE,FDR detected below target effect
A0A024RBG1,LC_vs_Healthy,0.6856581180576399,0.2583586582263186,2.653900290258563,11,0.022429658940294583,0.05799512140353493,NA,0.6212121212121212,0.48484848484848486,2.653900290258563,3.8705883010276896,0.6764983826249429,0.9400908336149016,0.7953284287354742,TRUE,FALSE,FALSE,TRUE,FALSE,"Not FDR detected, powered for target effect"
A0A024RBG1,LC_vs_FC,-0.15030422212178582,0.29037006431286494,-0.5176298819834182,11,0.6149667864867085,0.8714566630230487,NA,0.5185185185185186,0.4074074074074074,0.5176298819834182,3.4438811809557968,0.07610717091605912,0.8792694713881309,0.8938719862814491,FALSE,FALSE,FALSE,TRUE,FALSE,"Not FDR detected, powered for target effect"
A0A024RBG1,Infected_vs_Healthy,0.7608102291185328,0.23708616471521818,3.2090030644866965,11,0.008320282679447732,0.022517113010363597,NA,0.5977011494252873,0.45977011494252873,3.2090030644866965,4.217875814057621,0.8313517841929415,0.9690934505131529,0.7298434205858785,TRUE,TRUE,FALSE,TRUE,TRUE,FDR detected below target effect
A0A075B6H7,FC_vs_Healthy,0.573652879940899,0.6117005505148083,0.9378001694752631,9,0.3728297607969382,0.4609760539445645,NA,0.6666666666666667,0.2916666666666667,0.9378001694752631,1.6347868236482674,0.13412500944052153,0.3097309101699607,1.92663214545252,FALSE,FALSE,FALSE,FALSE,FALSE,"Not FDR detected, underpowered for target effect"
A0A075B6H7,LC_vs_Healthy,0.6672630474503857,0.5644717925535838,1.1821016678828007,9,0.2674548235379528,0.36926471716694703,NA,0.6704545454545454,0.25,1.1821016678828007,1.7715677084166657,0.1851317568807409,0.3536782610200937,1.7778788981302602,FALSE,FALSE,FALSE,FALSE,FALSE,"Not FDR detected, underpowered for target effect"
A0A075B6H7,LC_vs_FC,0.09361016750948674,0.6274725637778193,0.1491860726880052,9,0.8846962669607281,0.9665622132285526,NA,0.625,0.20833333333333334,0.1491860726880052,1.5936951792430691,0.052059661095408716,0.29701288638270196,1.9763081964638307,FALSE,FALSE,FALSE,FALSE,FALSE,"Not FDR detected, underpowered for target effect"
A0A075B6H7,Infected_vs_Healthy,0.6204579636956423,0.4979684020808052,1.2459785823819416,9,0.24422932511270945,0.32593638303665246,NA,0.6551724137931034,0.25,1.2459785823819416,2.008159545508131,0.20045402266159273,0.43416856038044094,1.5684176351665375,FALSE,FALSE,FALSE,FALSE,FALSE,"Not FDR detected, underpowered for target effect"
A0A075B6H7; A0A0C4DH55,FC_vs_Healthy,0.7003431198134913,0.5134575743539362,1.3639746588502581,14,0.19410387456130151,0.2792443588383416,NA,0.05555555555555558,0,1.3639746588502581,1.9475805790931435,0.24617955759553123,0.44198398645243275,1.5471858125097282,FALSE,FALSE,FALSE,FALSE,FALSE,"Not FDR detected, underpowered for target effect"
A0A075B6H7; A0A0C4DH55,LC_vs_Healthy,1.2457195336829672,0.4552421113925938,2.736389060915935,14,0.016068587465916995,0.044551681283052653,NA,0.045454545454545414,0,2.736389060915935,2.1966333407535212,0.7208321293220892,0.533899313936599,1.3717669602787403,TRUE,TRUE,TRUE,FALSE,FALSE,FDR detected and at least target effect
