Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
A0A024RBG1,FC_vs_Healthy,0.8359623401794257,0.2963577058940227,2.8207882688846473,11,0.016644184702513165,0.043545725673040214,NA,0.6481481481481481,0.48148148148148145
A0A024RBG1,LC_vs_Healthy,0.6856581180576399,0.2583586582263186,2.653900290258563,11,0.022429658940294583,0.05799512140353493,NA,0.6212121212121212,0.48484848484848486
A0A024RBG1,LC_vs_FC,-0.15030422212178582,0.29037006431286494,-0.5176298819834182,11,0.6149667864867085,0.8714566630230487,NA,0.5185185185185186,0.4074074074074074
A0A075B6H7,FC_vs_Healthy,0.573652879940899,0.6117005505148083,0.9378001694752631,9,0.3728297607969382,0.4609760539445645,NA,0.6666666666666667,0.2916666666666667
A0A075B6H7,LC_vs_Healthy,0.6672630474503857,0.5644717925535838,1.1821016678828007,9,0.2674548235379528,0.36926471716694703,NA,0.6704545454545454,0.25
A0A075B6H7,LC_vs_FC,0.09361016750948674,0.6274725637778193,0.1491860726880052,9,0.8846962669607281,0.9665622132285526,NA,0.625,0.20833333333333334
A0A075B6H7; A0A0C4DH55,FC_vs_Healthy,0.7003431198134913,0.5134575743539362,1.3639746588502581,14,0.19410387456130151,0.2792443588383416,NA,0.05555555555555558,0
A0A075B6H7; A0A0C4DH55,LC_vs_Healthy,1.2457195336829672,0.4552421113925938,2.736389060915935,14,0.016068587465916995,0.044551681283052653,NA,0.045454545454545414,0
A0A075B6H7; A0A0C4DH55,LC_vs_FC,0.5453764138694759,0.5037557474045191,1.0826207277622086,14,0.29727158602061055,0.7423659736969653,NA,0,0
A0A075B6H9,FC_vs_Healthy,1.341667729776574,0.6293984929396931,2.1316665750344086,11,0.056416088239765294,0.10931765632452892,NA,0.8703703703703703,0.12962962962962962
A0A075B6H9,LC_vs_Healthy,0.9181648093145466,0.5407983594929062,1.6977951082830354,11,0.11762134757285514,0.19936694951327358,NA,0.8409090909090909,0.12878787878787878
A0A075B6H9,LC_vs_FC,-0.4235029204620274,0.5908202272957972,-0.7168050464358907,11,0.48843507969230116,0.8205405213144685,NA,0.8240740740740741,0.1388888888888889
A0A075B6I0,FC_vs_Healthy,0.42728016323484974,0.5233609052204735,0.8164158976583313,11,0.43158770204469077,0.5173616811160412,NA,0.537037037037037,0.05555555555555555
A0A075B6I0,LC_vs_Healthy,0.5730179027619142,0.44560572392034414,1.2859303011654,11,0.22487701930994475,0.3252099229984146,NA,0.5303030303030303,0.10606060606060606
A0A075B6I0,LC_vs_FC,0.14573773952706448,0.4871488564327484,0.2991646959704683,11,0.7703908745328236,0.9280297521576688,NA,0.4814814814814815,0.1111111111111111
A0A075B6I1,FC_vs_Healthy,-0.5073295268986945,0.7505493804731527,-0.6759442351133108,2,0.5687619490860241,0.6430086996583594,NA,0.8333333333333334,0.16666666666666666
A0A075B6I1,LC_vs_Healthy,1.0698338900839381,0.7269065639486848,1.4717625939053454,2,0.27893620396708485,0.38069507745794734,NA,0.75,0.11363636363636363
A0A075B6I1,LC_vs_FC,1.5771634169826325,0.5701873383754548,2.7660442644626175,2,0.10962501854792239,0.6864622519130117,NA,0.6388888888888888,0.19444444444444445
A0A075B6I4,FC_vs_Healthy,-Inf,NA,NA,NA,NA,0,oneConditionMissing,0.9444444444444444,0
A0A075B6I4,LC_vs_Healthy,0.3634343611452421,NA,NA,0,NA,NA,NA,0.9090909090909091,0
A0A075B6I4,LC_vs_FC,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.9444444444444444,0
A0A075B6I9,FC_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.8888888888888888,0
A0A075B6I9,LC_vs_Healthy,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.9090909090909091,0
A0A075B6I9,LC_vs_FC,0.8518815424504567,1.362716015078512,0.6251350487000595,0,NA,NA,NA,0.7777777777777778,0
A0A075B6J9,FC_vs_Healthy,-0.005773358226763335,0.8121283937881427,-0.007108923011340263,5,0.9946028650855849,0.9958584125693876,NA,0.8148148148148149,0.14814814814814814
A0A075B6J9,LC_vs_Healthy,0.6993572014197768,0.7194173150500529,0.9721161651094254,5,0.37563981010579184,0.47822417591781535,NA,0.7575757575757576,0.09090909090909091
A0A075B6J9,LC_vs_FC,0.70513055964654,0.6571838650547361,1.072957808524119,5,0.3323217110756014,0.7602195427204533,NA,0.7037037037037037,0.14814814814814814
A0A075B6K4,FC_vs_Healthy,1.1323031249372413,0.5506762192775649,2.056204871934938,8,0.07379370079444003,0.13470817878049102,NA,0.6111111111111112,0.3333333333333333
